Award ID,Action Date,Amount,Type,Recipient,Description
80NSSC24PC269,2025-06-10,-24000.00,PURCHASE ORDER,KPMG LLP,Stop work notice issued with notification of intent to terminate for convenience - kpmg aspire immersion
80NSSC25PA641,2025-06-17,-15200.00,PURCHASE ORDER,"Messe Dusseldorf North America, Inc.",Termination for convenience agreement - booth space for NASA at auvsi 2025
80GSFC23CA001,2025-09-04,-8203.43,DEFINITIVE CONTRACT,The Trustees of Columbia University in the City of New York,Terminate for convenience notice issued under the the socioeconomic data and applications distributed active archive center (SDAAC)for smd directorate.
80NSSC23FA279,2025-02-20,-6154.45,DELIVERY ORDER,Creative Solutions International Coporation,Termination for convenience agreement - creative solutions consulting services (deborah klotz) in support of the ocio transformation project.
80NSSC24PC363,2025-04-08,-6000.00,PURCHASE ORDER,Qualcomm Technologies Inc,Terminate for convenience agreement - qualcomm 5g learning - four subscriptions
80NSSC19K1666,2025-08-05,-4219.53,PROJECT GRANT (B),"Imec USA Nanoelectronics Design Center, Inc",Termination for convenience agreement - rodent hindlimb suspension  rodent csf  and direct icp & biomarkers - support for somd directorate
80NSSC24PA923,2025-03-17,0.00,PURCHASE ORDER,Keysight Technologies Inc,Termination for convenience agreement - renew software license for ads
80NSSC22PB703,2025-03-24,0.00,PURCHASE ORDER,Ho-Chunk Shared Services Company,Stop work notice issued with notification of intent to termiate for conveince - Gsfc Strategic Assessment Support (GSAS)
80NSSC24PA753,2025-03-19,0.00,PURCHASE ORDER,Keysight Technologies Inc,Termination for convenience agreement ---- license maintenance for genesys
80NSSC25K7045,2025-03-21,0.00,PROJECT GRANT (B),Kutztown University of Pennsylvania,"Termination for convenience agreement - the kutztown university'S h2o+h2s ""here to observe + here to storytell"" program will use mission science and scientific storytelling as a student experiential learning tool to scaffold workforce skills. Each year  the 10-12 student observer cohort will be composed of STEM and stem-interested freshmen  sophomores and incoming transfer students from introductory courses. The program will focus on those students not typically served by outreach and engagement programs. Kutztown university has an established 'learning community' approach  where a group of students is paired with faculty mentors and meet once a week as a part of their schedule. h2o+h2s will use this program so students are supported with a 1-credit course (1 hour per week)  preserving dedicated time for the student observer to fulfill the program without disruption to their academic classes or overburdening schedules. The course will integrate the here to explore program activities with a student-created scientific narrative project based on sharing the mission science. The students observers will develop a short audio/video storytelling project about the NASA mission. Research shows that integrating storytelling  or narrative techniques  provides powerful access for students of diverse backgrounds to connect with science. Two students from previous cohorts will serve as peer mentors. Scaffolding experiences will include the nasa-led h2o activities  fieldtrips  professional meeting attendance  and mentorship through-out the year. The h2o + h2s program focuses on creating products that articulate workforce skills on student resumes. This directly supports enhanced student success when applying for future internships  graduate school  and industry jobs."
80NSSC24M0193,2025-05-12,0.00,COOPERATIVE AGREEMENT (B),President and Fellows of Harvard College,Termination for convenience agreement - NASA open innovation research -support for stmd directorate
80NSSC25K7036,2025-05-14,0.00,PROJECT GRANT (B),University of Richmond,Termination for convenience agreement - building capacity for resiliency  education  and environmental justice across the changing indigenous landscapes of virginia - support for smd directorate
80NSSC25K7036,2025-04-09,0.00,PROJECT GRANT (B),University of Richmond,Stop work notice issued with notification of intent to terminate for convenience   Earth action: community action for equity and environmental justice   smd
80NSSC25PA641,2025-04-08,0.00,PURCHASE ORDER,"Messe Dusseldorf North America, Inc.",Termination for convenience agreement - booth space for NASA at auvsi 2025
80NSSC25PA068,2025-04-08,0.00,PURCHASE ORDER,University Corporation for Atmospheric Research,Termination for convenience agreement - ot dynamical neutral atmosphere-ionosphere coupling-x (DYNAMIC-X)
80NSSC25K7045,2025-03-21,0.00,PROJECT GRANT (B),Kutztown University of Pennsylvania,"Termination for convenience agreement - the kutztown university'S h2o+h2s ""here to observe + here to storytell"" program will use mission science and scientific storytelling as a student experiential learning tool to scaffold workforce skills. Each year  the 10-12 student observer cohort will be composed of STEM and stem-interested freshmen  sophomores and incoming transfer students from introductory courses. The program will focus on those students not typically served by outreach and engagement programs. Kutztown university has an established 'learning community' approach  where a group of students is paired with faculty mentors and meet once a week as a part of their schedule. h2o+h2s will use this program so students are supported with a 1-credit course (1 hour per week)  preserving dedicated time for the student observer to fulfill the program without disruption to their academic classes or overburdening schedules. The course will integrate the here to explore program activities with a student-created scientific narrative project based on sharing the mission science. The students observers will develop a short audio/video storytelling project about the NASA mission. Research shows that integrating storytelling  or narrative techniques  provides powerful access for students of diverse backgrounds to connect with science. Two students from previous cohorts will serve as peer mentors. Scaffolding experiences will include the nasa-led h2o activities  fieldtrips  professional meeting attendance  and mentorship through-out the year. The h2o + h2s program focuses on creating products that articulate workforce skills on student resumes. This directly supports enhanced student success when applying for future internships  graduate school  and industry jobs."
80NSSC24K1264,2025-03-21,0.00,PROJECT GRANT (B),University of Alaska Fairbanks,Termination for convenience agreement - bringing edia to the planetary sciences community: a two-day ag-style meeting of the cross-ag edia working group
80NSSC21K1443,2025-05-12,0.00,PROJECT GRANT (B),President and Fellows of Harvard College,Termination for convenience agreement - improved understanding of oxygenated volatile organic compounds (OVOCS) in polluted and remote atmospheres using korus-aq and atom data: implications for interpreting satellite observations of formaldehyde and glyoxal - support for smd directorate
80NSSC21K1069,2025-06-20,0.00,PROJECT GRANT (B),President and Fellows of Harvard College,Termination for convenience agreement -20-ocost20-0009  application of continuous ground-based remote sensing to analysis of oco-2/3 xco2 and sif data in mosaic landscapes -support for smd Earth science directorate
80NSSC19K0326,2025-05-12,0.00,PROJECT GRANT (B),President and Fellows of Harvard College,Termination for convenience agreement - dynamics and chemistry of summer stratosphere - support for smd directorate
80MSFC24CA008,2025-01-23,0.00,DEFINITIVE CONTRACT,"University of California, Los Angeles","Stop work notice issued with notification of intent to descope - the goal of neo surveyor is to find, track, and characterize the asteroids and comets that could potentially threaten the Earth."
80NSSC21M0002,2025-05-12,0.00,COOPERATIVE AGREEMENT (B),President and Fellows of Harvard College,Termination for convenience agreement - cosmic storytelling with NASA data: tools for exploring data science - support for smd directorate
80GSFC24CA024,2025-05-28,0.00,DEFINITIVE CONTRACT,"A3l Federal Works,llc","Termination for convenience agreement-partial- iv&v program office Of Safety & Mission Assurance (OSMA)  Knowledge Management, Events and Communications Supports (KMECS) ivv contract"
80GSFC24CA024,2025-03-14,0.00,DEFINITIVE CONTRACT,"A3l Federal Works,llc","Stop work notice issued with notification Of intent to descope per eo 14148 & 14173 iv&v program office Of Safety & Mission Assurance (OSMA)  Knowledge Management, Events and Communications Supports (KMECS) ivv contract"
80HQTR24F0072,2025-03-13,0.00,DELIVERY ORDER,"Barrios Technology, LLC","Stop work notice issued with notification of intent to terminate for convenience-provides data and evidence-driven advice to NASA leadership to assure an integrated enterprise approach to technology, policy, and strategy."
80HQTR24F0070,2025-03-13,0.00,DELIVERY ORDER,"Barrios Technology, LLC","Stop work notice issued with notification of intent to terminate for convenience- odeo mission support enterprise offices.  Supporting the civil rights complaint process, adjudication procedures, compliance activities, a civil rights compliance."
80HQTR24F0046,2025-03-13,0.00,DELIVERY ORDER,"Barrios Technology, LLC","Stop work notice issued with notification of intent to terminate for convenience - strategic planning, analysis, and programmatic support for.planetary sciences division.hq science mission directorate"
80GRC024CA008,2025-04-08,0.00,DEFINITIVE CONTRACT,Case Western Reserve University,Stop work notice issued with notice of intent to de-scope. Centrifugal acceleration testing - NASA GRC is pursuing the development of dynamic conversion technologies to support science mission power system development.
80HQTR24F0071,2025-03-13,0.00,DELIVERY ORDER,"Barrios Technology, LLC",Stop work notice issued with notification of intent to terminate for convenience-odeo mission support enterprise offices. ..leveraging the expertise of an ..administrative operations specialist.
80NSSC21M0003,2025-03-21,0.00,COOPERATIVE AGREEMENT (B),Universities Space Research Association,Termination for convenience agreement  - Science activation program integration/ Science engagement & partnerships division for support for Science Mission Directorate (SMD)
80NSSC24FA979,2025-03-27,0.00,BPA CALL,"Bryce Space and Technology, LLC","Termination for convenience agreement - change management support service bpa call for office of technology, policy, and strategy independent diagnostic and strategic advisory support (otps-idsas)."
80NSSC25K7034,2025-03-21,0.00,PROJECT GRANT (B),University of Oklahoma,Termination for convenience agreement - 23-eej23-0046  building co-design and co-learning digital twins against floods on tribal lands in support of indigenous communities
80NSSC24PA609,2025-02-18,0.00,PURCHASE ORDER,"Politico, LLC",Termination for convenience agreement - politico pro agreement for ocfo
80SSC021F0001,2025-04-08,0.00,BPA CALL,Trilogy Medical Resources LLC,Stop work notice issued with notification of intent to terminate for convenience - provide covid-19 rapid testing for stennis space center.
80NSSC24PA723,2025-02-18,0.00,PURCHASE ORDER,"Politico, LLC",Termination for convenience agreement - renewal for politico pro service for olia
80NSSC20P1795,2025-04-08,0.00,PURCHASE ORDER,Howard Wershbale & Co,Termination for convenience agreement exercise option yr 4
80HQTR24F0073,2025-03-21,0.00,DELIVERY ORDER,"Barrios Technology, LLC",Stop work notice issued with notification of intent to terminate for convenience - esdmd integration and administrative support.
80HQTR24F0064,2025-03-21,0.00,DELIVERY ORDER,"Barrios Technology, LLC",Stop work notice issued with notification of intent to terminate for convenience - msd risk management
80HQTR24F0074,2025-03-13,0.00,DELIVERY ORDER,"Barrios Technology, LLC",Stop work notice issued with notification of intent to terminate for convenience- odeo mission support enterprise offices.       Will be responsible for overseeing and managing the successful execution of the following special projects:
80NSSC22K0223,2025-05-14,0.00,PROJECT GRANT (B),American Geophysical Union,Termination for convenience agreement - agu  aas  asgsr to NASA: supporting early career researchers post pandemic - support for smd directorate
80NSSC25K7032,2025-05-14,0.00,PROJECT GRANT (B),Emory University,Termination for convenience agreement - advancing environmental justice in atlanta through gis-enabled community engagement - support for smd directorate
80NSSC22K0223,2025-04-08,0.00,PROJECT GRANT (B),American Geophysical Union,Stop work notice issued with notification of intent to terminate for convenience - agu  aas  asgsr to NASA: supporting early career researchers post pandemic
80NSSC25K7032,2025-04-09,0.00,PROJECT GRANT (B),Emory University,Stop work notice issued with notification of intent to terminate for convenience   Earth action: community action for equity and environmental justice   smd
80NSSC24K0115,2025-03-21,0.00,PROJECT GRANT (B),Virginia State University,Termination for convenience agreement - here to observe support for science mission directorate (SMD/ESD)
80GSFC23PA006,2025-06-18,0.00,PURCHASE ORDER,"Malin Space Science Systems, Inc","Termination for convenience agreement - Mars Sample Return campaign Capture, Containment, and Return Sample (CCRS) camera"
80NSSC23K1430,2025-05-12,0.00,PROJECT GRANT (B),President and Fellows of Harvard College,Termination for convenience agreement -rodent research standard housing mission: multidisciplinary approach to understanding spaceflight responses  - support for smd directorate
80JSC024FA135,2025-01-27,0.00,BPA CALL,Booz Allen Hamilton Inc,Stop work notice issued with notification of intent to terminate for convenience terminated iaw eo 14151-strategic professional engineering assessment contract ii (SPEAC II)
80KSC024F0045,2025-03-21,0.00,BPA CALL,"The Performance Knowledge Group, LLC","Stop work notice issued with notification of intent to terminate for convenience - Strategic Management Support Services (SMSS) task order for Center Engineering, Safety and Operations (CESO)"
80NSSC24K0944,2025-03-21,0.00,PROJECT GRANT (B),"National Society of Black Physicists, Inc.",Termination for convenience agreement  - topical workshops  symposiums  and conferences  science mission directorate (smd/planetary)
80KSC024F0043,2025-03-21,0.00,BPA CALL,"The Performance Knowledge Group, LLC",Stop work notice issued with notification of intent to terminate for convenience - Strategic Management Support Services (SMSS) task order for Launch Services Program (LSP).
80KSC024F0044,2025-03-21,0.00,BPA CALL,"The Performance Knowledge Group, LLC",Stop work notice issued with notification of intent to terminate for convenience _strategic management support services (SMSS) task order for launch services program (EGS)
80NSSC24PC064,2025-04-08,0.00,PURCHASE ORDER,The Jandor Group LLC,Terminate for convenience agreement
80HQTR21F0124,2025-03-17,0.00,DELIVERY ORDER,"Overlook Systems Technologies, Inc.",Stop work notice issued with notification of intent to terminate for convenience - Policy And Strategic Communications (PSC) support for NASA Space Communications And Navigation (SCAN) program.
80NSSC24PA660,2025-04-16,0.00,PURCHASE ORDER,"Lmi Consulting, LLC",Terminate for convenience: bridge program retreat
80NSSC24K1845,2025-03-21,0.00,PROJECT GRANT (B),"National Society of Black Physicists, Inc.",Termination for convenience agreement - nsbp/nshp: joint annual conferences 2024-26
80ARC023CA004,2025-03-21,0.00,DEFINITIVE CONTRACT,The Trustees of Columbia University in the City of New York,Stop work notice issued with notification of intent to terminate for convenience - contract to extend longevity of 3d tissues and microphysiological systems for modeling of acute and chronic exposures to stressors in support of hq/smd.
80ARC023CA004,2025-03-21,0.00,DEFINITIVE CONTRACT,The Trustees of Columbia University in the City of New York,Termination for convenience - contract to extend longevity of 3d tissues and microphysiological systems for modeling of acute and chronic exposures to stressors in support of hq/smd.
80NSSC25K7029,2025-04-08,0.00,PROJECT GRANT (B),Research Triangle Institute,Stop work notice issued with notification of intent to terminate for convenience - project green: greenspace and remote sensing for the environment and equity in neighborhoods
80NSSC25K7029,2025-05-14,0.00,PROJECT GRANT (B),Research Triangle Institute,Termination for convenience agreement - project green: greenspace and remote sensing for the environment and equity in neighborhoods - support for smd directorate
80GSFC23CA030,2025-04-08,0.00,DEFINITIVE CONTRACT,Honeybee Robotics LLC,"Stop work notice issued with notification of intent to terminate for convenience - Mars Sample Return (MSR) Capture, Containment and Return Systems (CCRS) Earth Entry System (EES) Spin Eject Mechanism (SEM) for smd directorate."
80NSSC24PA590,2025-01-31,0.00,PURCHASE ORDER,"Eli Group, LLC",Stop work notice issued with notification of intent to terminate for convenience - 2024 leadership lab for women
80NSSC24PC331,2025-02-19,0.00,PURCHASE ORDER,"Eli Group, LLC",Termination for convenience agreement - executive leadership impact
80NSSC25FA145,2025-03-25,0.00,DELIVERY ORDER,"B/W Color Prints, LLC",Stop work notice issued - service for installation of the science on the sphere system
80NSSC22K1673,2025-03-21,0.00,PROJECT GRANT (B),Massachusetts Institute of Technology,Termination for convenience agreement - Earth science applications: equity and environmental justice support for science mission directorate (SMD/ESD)
80NSSC22K1675,2025-03-21,0.00,PROJECT GRANT (B),University of Texas at Austin,Termination for convenience agreement - Earth science applications: equity and environmental justice support for smd/esd mission directorate
80HQTR24F0096,2025-04-08,0.00,DELIVERY ORDER,The Aerospace Corporation,Stop work notice issued with notification of intent to terminate for convenience - strategic communications and integration support for mission support directorate
80LARC24F0039,2026-03-17,0.00,DELIVERY ORDER,The Aerospace Corporation,Termination for convenience agreement - NASA engineering and safety center'S (NESC) team to guise future human-rated spacecraft providers on designing and verifying a spacecraft fire system.
80LARC25F7003,2026-03-17,0.00,DELIVERY ORDER,The Aerospace Corporation,Termination for convenience agreement- NASA engineering and safety center'S (NESC) environmental control and life support (ECLSS) Technical Discipline Team (TDT).
80MSFC21CA001,2026-04-03,0.00,DEFINITIVE CONTRACT,Lockheed Martin Corp,"Tipping point Cryogenic Demonstration Mission (CDM) establish the final settlement between the government and contractor resulting from the termination for convenience of contract no. 80msfc21ca001 issued on august 8, 2024."
80NSSC24K1612,2025-03-21,0.00,PROJECT GRANT (B),University of Texas at Austin,Termination for convenience agreement - 23-earth23-0422 climate harmony: studying and informing urban climate efforts in central texas through the development of a regional climate atlas
80NM0018F0669,2025-04-07,0.00,DELIVERY ORDER,California Institute of Technology,Stop work order issued with notification of intent to terminate for convenience - geostationary carbon cycle observatory (GEOCARB) pre-phase a and phase a (87-700073) for smd directorate
80NSSC22PA482,2025-04-08,0.00,PURCHASE ORDER,"Diversified Services Group, Inc.",Termination for convenience agreement - live plant maintenance services
80NSSC19K0748,2025-04-08,0.00,PROJECT GRANT (B),The Pinhead Institute Inc,Stop work notice issued with notification of intent to terminate for convenience - unsolicited  an analysis of ladee uvs data for metallic species
80NSSC19K0748,2025-05-14,0.00,PROJECT GRANT (B),The Pinhead Institute Inc,Termination for convenience agreement - an analysis of ladee uvs data for metallic species - support for smd directorate
80NM0024F0047,2026-04-13,0.00,DELIVERY ORDER,California Institute of Technology,Termination for convenience agreement - advancing vietnam'S marine spatial planning for offshore wind energy development (82-222737)
80NM0018F0566,2026-05-01,0.00,DELIVERY ORDER,California Institute of Technology,Stop work notice issued with notification Of intent to terminate for convenience - office Of Chief Technologist (OCT) strategic integration for smd directorate
80NM0018F0566,2025-04-03,0.00,DELIVERY ORDER,California Institute of Technology,Stop work notice issued with notification Of intent to terminate for convenience - office Of Chief Technologist (OCT) strategic integration for smd directorate
80NM0018F0566,2026-04-30,0.00,DELIVERY ORDER,California Institute of Technology,Stop work notice issued with notification Of intent to terminate for convenience - office Of Chief Technologist (OCT) strategic integration for smd directorate
80NM0019F0075,2025-03-03,0.00,DELIVERY ORDER,California Institute of Technology,Stop work notice issued with notification of intent to terminate for convenience - monitoring particulate air pollution and human health in ethiopia and south africa with linkages to NASA'S maia mission (82-710940) for smd directorate
80NM0019F0075,2026-06-17,0.00,DELIVERY ORDER,California Institute of Technology,Termination for convenience agreement - Mars to moon engineering support for xyz directorate
80JSC024F0025,2025-02-18,0.00,BPA CALL,"Straughan Environmental, Inc.","Partial stop work notice issued with notification of intent to de-scope - call 29 (non-core support), Jsc Environmental Services Team I (JEST I)"
80HQTR22F0076,2025-04-08,0.00,DELIVERY ORDER,"Icf Incorporated, LLC",Stop work notice issued with notification of intent to terminate for convience - support for u.S.participation in theintergovernmentalpanel on climatechange and relatedinternationalassessments
80JSC024F0025,2025-02-20,0.00,BPA CALL,"Straughan Environmental, Inc.","Cancellation of partial stop work notice as non-applicable - call 29 (non-core support), Jsc Environmental Services Team I (JEST I)"
80JSC024F0026,2025-02-20,0.00,BPA CALL,"Straughan Environmental, Inc.","Cancellation of partial stop work notice as non-applicable - call 30 (t&m support), Jsc Environmental Services Team I (JEST I)"
80HQTR22F0109,2025-04-08,0.00,DELIVERY ORDER,"Icf Incorporated, LLC",Stop work notice issued with notification of intent to terminate for convience - specialized support services for a carbon cycle interagency working group coordintor.
80NSSC24PB720,2025-04-08,0.00,PURCHASE ORDER,R3 Uniq Inc,Terminate for convenience - omnest network simulation software licenses and support
80JSC024F0026,2025-02-20,0.00,BPA CALL,"Straughan Environmental, Inc.","Partial stop work notice issued with notification of intent to de-scope - call 30 (t&m support), Jsc Environmental Services Team I (JEST I)"
80JSC024F0024,2025-02-18,0.00,BPA CALL,"Straughan Environmental, Inc.","Partial stop work notice issued with notification of intent to de-scope - call 28 (core support), Jsc Environmental Services Team I (JEST I)"
80HQTR24F0037,2025-04-08,0.00,DELIVERY ORDER,"Icf Incorporated, LLC",Stop work noticed issued with notification of intent to terminate for convience - to provide a scope for specialized support services for two climate services personnel to the u.S. Global change research program
80HQTR25F7019,2025-04-08,0.00,DELIVERY ORDER,"Icf Incorporated, LLC","Stop work notice issued with notification of intent to terminate for convience - assist with planning activities involving a large international author team coordinate in-person and remote meetings, track the status of authors' work"
80JSC024F0024,2025-02-20,0.00,BPA CALL,"Straughan Environmental, Inc.","Cancellation of partial stop work notice as non-applicable - call 28 (core support), Jsc Environmental Services Team I (JEST I)"
80HQTR24F0019,2025-04-08,0.00,DELIVERY ORDER,"Icf Incorporated, LLC",Stop work and termination for convenience notice issued. Engagement specialist to the U.S. Global Change Research Program (USGCRP) National Coordination Office (NCO)
80HQTR24F0012,2025-03-14,0.00,DELIVERY ORDER,"Icf Incorporated, LLC",Stop work notice issued with notification of intent to terminate for convience - support for the technical unit for seventh assessment of the intergovernmental panel on climate change
80NSSC24K0892,2025-03-21,0.00,PROJECT GRANT (B),George Mason University,Termination for convenience agreement  - interdisciplinary research in Earth sciences support for science mission directorate (SMD/ESD)
80JSC025FA076,2025-02-24,0.00,BPA CALL,"Straughan Environmental, Inc.","Cancellation of partial stop work notice as non-applicable - call 02 (t&m support), JSC environmental services team ii (JEST II)"
80JSC025FA077,2025-02-18,0.00,BPA CALL,"Straughan Environmental, Inc.",Partial stop work notice issued with notification of intent to de-scope - call 03 (non-core support) - JSC environmental services team ii (JEST II)
80JSC025FA077,2025-02-18,0.00,BPA CALL,"Straughan Environmental, Inc.","Cancellation of partial stop work notice as non-applicable - call 03 (non-core support), JSC environmental services team ii (JEST II)"
80JSC025FA076,2025-02-18,0.00,BPA CALL,"Straughan Environmental, Inc.",Partial stop work notice issued with notification of intent to de-scope - call 02 (t&m support) - JSC environmental services team ii (JEST II)
80NSSC24PB891,2025-04-16,0.00,PURCHASE ORDER,"Career Communications Group, Inc.",Termination for convenience: women of color in STEM silver partnership and participation in their national convention
80NSSC25PA014,2025-04-08,0.00,PURCHASE ORDER,Space Exploration Technologies Corp,"Termination for convenience agreement - aspire public-private talent program, SpaceX immersion"
80NSSC24K0503,2025-06-11,0.00,PROJECT GRANT (B),George Washington University (THE),Stop work notice issued with notification of intent to terminate for convenience   assessing environmental justice  air quality  and health co-benefits of transport interventions in u.S. Urban areas - smd
80NSSC24PC269,2025-03-24,0.00,PURCHASE ORDER,KPMG LLP,Stop work notice issued with notification of intent to terminate for convenience - kpmg aspire immersion
80GSFC21C0057,2025-04-09,0.00,DEFINITIVE CONTRACT,Schlumberger Technology Corporation,Stop work notice issued with notification of intent to terminate for convenience - NASA Dragonfly pulsed neutron generators for the smd directorate.
80NSSC24PC394,2025-03-11,0.00,PURCHASE ORDER,Partnership for Public Service Inc,Termination for convenience agreement - partnership for public service. Membership in the federal human capital collaborative
80NSSC24K0178,2025-03-21,0.00,PROJECT GRANT (B),Brown University,Termination for convenience agreement - interdisciplinary research in Earth sciences for science mission directorate (SMD/ESD)
80NSSC24K0176,2025-03-21,0.00,PROJECT GRANT (B),Virginia Polytechnic Institute & State University,Termination for convenience agreement - interdisciplinary research in Earth science support for science mission directorate (SMD/ESD)
80NSSC24K0177,2025-03-21,0.00,PROJECT GRANT (B),The Johns Hopkins University,Termination for convenience agreement - interdisciplinary research in Earth sciences support for science mission directorate (SMD/ESD)
