Award ID,Action Date,Amount,Type,Recipient,Description
80NSSC23K0983,2025-04-04,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Stop work notice issued with notification of intent to terminate forconvenience - high fidelity modeling of parasitic capillary wave dynamics for remote sensing
80NSSC25K7118,2025-04-04,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Stop work notice issued with notification of intent toterminate for convenience - redox evolution of terrestrial magma oceans - smd planetary
80NSSC21K1957,2025-04-04,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Stop work notice issued with notification of intent to terminate for convenience   taurus: a balloon-borne polarimeter for cosmic reionization and galactic dust  smd/adap
80NSSC25K7437,2025-12-10,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Rescinding stop work notice. Execute a balanced science program based on discipline-specific guidance from the national academies of sciences  engineering  and medicine  administration priorities  and direction from congress.   Participate as a key partner and enabler in the agency S exploration initiative  focusing on scientific research of  on  and from the moon  lunar orbit  Mars  and beyond.   Advance discovery in emerging fields by identifying and exploiting cross-disciplinary opportunities between traditional science disciplines   develop a directorate-wide  target-user focused approach to applied programs  including Earth science applications  space weather  planetary defense  and space situational awareness
80NSSC23K0815,2025-04-04,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Stop work notice issued with notification of intent to terminate for convenience   airborne and satellite investigation of asian air quality   smd/Earth science
80NSSC21K1957,2025-12-10,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Rescinding stop work notice. Taurus: a balloon-borne polarimeter for cosmic reionization and galactic dust
80NSSC23K0983,2025-12-10,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Rescinding stop work notice. High fidelity modeling of parasitic capillary wave dynamics for remote sensing
80NSSC22K0999,2025-04-04,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Stop work notice issued with notification of intent toterminate for convenience - investigating global cloud feedback dependence on southern ocean salinity - smd Earth science
80NSSC25K7437,2025-04-04,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Stop work notice issued with notification of intent to terminate for convenience   finding chelyabinsk-sized asteroids in the vicinity of the Earth and measuring neo light curves with hatpi  smd/planetary
80NSSC23K1130,2025-12-10,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Rescinding stop work notice. 22-adap22-0019  supernova progenitor and explosion properties of galactic supernova remnants
80NSSC25K7118,2025-12-10,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Rescinding stop work notice. Execute a balanced science program based on discipline-specific guidance from the national academies of sciences  engineering  and medicine  administration priorities  and direction from congress.   Participate as a key partner and enabler in the agency S exploration initiative  focusing on scientific research of  on  and from the moon  lunar orbit  Mars  and beyond.   Advance discovery in emerging fields by identifying and exploiting cross-disciplinary opportunities between traditional science disciplines   develop a directorate-wide  target-user focused approach to applied programs  including Earth science applications  space weather  planetary defense  and space situational awareness.
80NSSC23K1130,2025-04-04,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Stop work notice issued with notification of intent toterminate for convenience - supernova progenitor and explosion properties of galactic supernova remnants
80NSSC23K0815,2025-12-10,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Rescinding stop work notice. Tropospheric ammonia measurements by the open-path ammonia laser spectrometer during asia-aq
80NSSC22K0999,2025-12-10,0.00,PROJECT GRANT (B),The Trustees of Princeton University,Rescinding stop work notice. Cloud feedback is the greatest source of uncertainty in estimating climate sensitivity. Idealized modeling studies suggest that southern Ocean heat uptake can play a primary role in regulating cloud feedbacks (rose & rayborn  2016)  and preliminary analysis of cmip6 models by our team indicates that there is a strong connection between background southern Ocean Salinity and global cloud feedbacks. If true  this relationship provides a promising approach to use satellite observed sss as an emergent constraint on cloud feedback. However  the detailed mechanisms behind this connection remain to be fully understood understanding these mechanisms is a pre-requisite for utilizing these statistical relationships as an emergent constraint and capitalizing on this promise. In this proposal  we seek to understand the impact of southern Ocean Salinity  through its controls on Ocean heat uptake  global energy transport and global patterns of sst  on cloud feedbacks. We propose to produce and analyze climate model experiments  which will help develop this needed understanding in combination with analysis of satellite-derived and in situ Salinity estimates. Our ultimate goal is to generate a satellite-sss informed bayesian estimate of global cloud feedbacks  to help narrow the uncertainty in climate sensitivity estimates. The main questions for this proposal are: i) how does southern Ocean Salinity modulation of Ocean heat uptake influence global cloud feedbacks? Ii) what processes are responsible for the non-local effects of southern Ocean heat uptake on cloud controlling factors? Iii) why are salinity-driven Ocean heat uptake changes in the southern Ocean much more effective in altering clouds than those in other basins? Iv) given the exquisite sensitivity of cloud feedback to background Salinity  do natural fluctuations in southern Ocean Salinity on decadal to centennial timescales result in state-dependent climate sensitivity? V) using sss as an  emergent constraint  can we narrow the estimate of global climate sensitivity? A key resource will be satellite observations of Salinity  rainfall and surface wind speed from NASA S aquarius satellite and NASA S Soil Moisture active-passive (SMAP)  complimented by observations from the european space agency S Soil Moisture and Ocean Salinity (SMOS) satellite. Additional information on the vertical structure of Salinity and temperature in the Ocean will come from the argo array of profiling floats and from Ocean analyses obtained from the noaa gfdl and NASA geos iodas Ocean data assimilation systems. We now have a decade of high-quality global sea surface Salinity measurements that could enable a constraint of global cloud feedback using data that is novel and independent of heretofore used methodologies. We propose to explore the detailed mechanisms connecting southern Ocean Salinity with global cloud feedbacks across the cmip6 ensemble  and design  run and analyze coupled climate model experiments to isolate oceanic and atmospheric pathways to connect the southern Ocean with global cloud feedbacks. In particular  it is notable that southern Ocean Salinity in climate models is connected to both extratropical and tropical/ subtropical cloud feedback differences. We will constrain a climate model'S southern Ocean Salinity to that of other climate models and to that informed from observations. By completing these tasks  this proposal will directly support the program goals of exploiting satellite Salinity measurements and their synergistic use with other observations to investigate Salinity variability  particularly near surface Salinity stratification  and its linkage the global climate response to increasing greenhouse gases. In doing so  this proposal will directly address the first goal of the Ocean Salinity science team.
80NSSC19K1666,2025-04-08,0.00,PROJECT GRANT (B),"Imec USA Nanoelectronics Design Center, Inc",Stop work notice issued with notification of intent to terminate for convenience   rodent hindlimb suspension  rodent csf  and direct icp & biomarkers - smod
80NSSC19K1666,2025-05-14,0.00,PROJECT GRANT (B),"Imec USA Nanoelectronics Design Center, Inc",Termination for convenience agreement - rodent hindlimb suspension  rodent csf  and direct icp & biomarkers - support for somd directorate
80NSSC24K0520,2025-03-21,0.00,PROJECT GRANT (B),Natural Areas Conservancy Inc,Termination for convenience agreement - interdisciplinary research in Earth sciences for support for science mission directorate (SMD/ESD)
80NSSC24K0114,2025-03-21,0.00,PROJECT GRANT (B),Ohio Aerospace Institute,Termination for convenience agreement - Here to Observe (H2O) - ohio and puerto rico space grant consortiums support for science mission directorate (SMD/ESD)
80NSSC24K0113,2025-03-21,0.00,PROJECT GRANT (B),University of Arkansas System,Termination for convenience agreement - here to observe uab support for smd/esd
80NSSC23M0020,2025-04-08,0.00,COOPERATIVE AGREEMENT (B),Blue Marble Space,Stop work notice issued with notification of intent to terminate for convenience - unsolicited  three-dimensional modeling of observable terrestrial worlds
80NSSC23M0020,2025-05-14,0.00,COOPERATIVE AGREEMENT (B),Blue Marble Space,Termination for convenience agreement - three-dimensional modeling of observable terrestrial worlds - support for smd directorate
NNM16AA08C,2025-01-23,0.00,DEFINITIVE CONTRACT,Southwest Research Institute,"Stop work notice issued with notification of intent to descope - lucy is a planned NASA space probe that will tour five Jupiter trojans, asteroids which share Jupiter'S orbit around the sun, orbiting either ahead of or behind the planet and one main belt asteroid. All target encounters will be fly-by encounters."
80NSSC24PB139,2025-04-08,0.00,PURCHASE ORDER,"Datadog, Inc.",Termination for convenience agreement - datadog subscription
80NSSC24FA558,2025-04-16,0.00,DELIVERY ORDER,"Three Wire Systems, LLC",Termination for convenience agreement tor- one software renewal
80NSSC23F0002,2025-04-21,0.00,DELIVERY ORDER,"Four Points Technology, LLC",Terminate for convenience agreement securid authenticator tokens
80HQTR25FA007,2025-03-14,0.00,BPA CALL,Science Applications International Corporation,"Stop work notice issued with notification of intent to terminate for convience - review, validate, and advise on draft plan, messaging and branding of the plan, plan implementation analysis and recommendations, rollout & metrics"
80MSFC22F0153,2025-04-08,0.00,DELIVERY ORDER,The Johns Hopkins University Applied Physics Laboratory LLC,Stop work notice issued with notification of intent to terminate for convenience - nesc avionics packaging engineering processes and best practices
80MSFC24F0067,2025-01-23,0.00,DELIVERY ORDER,The Johns Hopkins University Applied Physics Laboratory LLC,Stop work notice issued with notification of intent to terminate for convenience - Here to Observe (H2O) support for Planetary Science Division (PSD) missions
80MSFC20C0050,2025-02-07,0.00,DEFINITIVE CONTRACT,Spatial Informatics Group LLC,Stop work notice issued with notification of intent to de-scope - servir global network capability program
80NSSC24K1193,2025-03-21,0.00,PROJECT GRANT (B),Cornell University,Termination for convenience agreement  - topical workshops  symposiums  and conferences  science mission directorate (smd/planetary)
80GSFC23CA041,2025-03-21,0.00,DEFINITIVE CONTRACT,Autonomic Integra LLC,Removal of clauses/drds iaw eo 14148 - stop work notice issued with notification of intent to de-scope- the Climate Change Research Initiative (CCRI) under the Goddard Institute for Space Studies (GISS) contract for the Earth sciences directorate.
80GSFC23CA041,2025-03-14,0.00,DEFINITIVE CONTRACT,Autonomic Integra LLC,Stop work notice issued with notification of intent to de-scope- the Climate Change Research Initiative (CCRI) under the Goddard Institute for Space Studies (GISS) contract for the Earth sciences directorate.
80NSSC24K1913,2025-04-28,0.00,PROJECT GRANT (B),University of Hawaii,Stop work notice issued with notification of intent to terminate - 21-jpsp21-0018 microwave measurements of the galilean satellites
80NSSC24K1913,2025-09-09,0.00,PROJECT GRANT (B),University of Hawaii,Rescind - stop work notice issued with notification of intent to terminate - 21-jpsp21-0018 microwave measurements of the galilean satellites
80NSSC23PB368,2025-03-06,0.00,PURCHASE ORDER,Pacific Research & Evaluation LLC,Termination for convenience agreement -- audience evaluation of engagement content and materials
80NSSC22K1658,2025-03-21,0.00,PROJECT GRANT (B),Cleveland State University,Termination for convenience agreement- 22-csdsa22_2-0014  commercial satellite data analysis characterizing canopy chlorophyll and photosynthetic productivity for agricultural crops and forest monitoring support for smd/esd directorate
80NSSC24PC049,2025-03-06,0.00,PURCHASE ORDER,Society of Women Engineers,Termination for convenience agreement - Society of Women Engineers (SWE) corporate partnership council and participation in associated recruiting events
80NSSC24PB679,2025-04-30,0.00,PURCHASE ORDER,"Gartner, Inc.","Termination for convenience agreement --NASA human capital and learning & development advisory, research and benchmarking services."
80NSSC24PB679,2025-03-06,0.00,PURCHASE ORDER,"Gartner, Inc.","Termination for convenience agreement --NASA human capital and learning & development advisory, research and benchmarking services."
80NSSC22K1681,2025-03-21,0.00,PROJECT GRANT (B),The University of Texas Rio Grande Valley,Termination for convenience agreement - Earth science applications: equity and environmental justice support for smd/esd
80NSSC24PA710,2025-03-17,0.00,PURCHASE ORDER,"Emp Consultants, LLC",Termination for convenience agreement - novice license renewal
80NSSC21M0005,2025-03-21,0.00,COOPERATIVE AGREEMENT (B),Oklahoma State University,Termination for convenience agreement  - Science activation program integration/ Science engagement & partnerships division for support for Science Mission Directorate (SMD)
80HQTR24FA038,2025-03-20,0.00,BPA CALL,"Crown Innovations, Inc.","Stop work notice issued with notification of intent to terminate for convience - data visualization of performance ratings aeronautics research mission directorate, office of the associate administrator"
80NSSC25FA078,2025-04-16,0.00,DELIVERY ORDER,Colossal Contracting LLC,Termination for convenience agreement prisma cloud renewal
80NSSC23PB058,2025-04-08,0.00,PURCHASE ORDER,"Florida First Robotics Education Foundation, Inc",Termination for convenience agreement - sponsorship of the first orlando regional
80LARC21F0153,2025-04-08,0.00,DELIVERY ORDER,Cornell Technical Services LLC,"Stop work notice issued with notification of intent to terminate for convenience - Mars Exploration Program (MEP) assessment for management, planning, technical, scientific, risk, cost, and schedule support"
80LARC25F7011,2025-04-08,0.00,DELIVERY ORDER,Cornell Technical Services LLC,Stop work notice issued with notification of intent to terminate for convenience - 2025 astrophysics division senior review
80LARC21F0083,2025-04-08,0.00,DELIVERY ORDER,Cornell Technical Services LLC,Stop work notice issued with notification of intent to terminate for convenience - soma vault administration
80NSSC24K1232,2025-03-21,0.00,PROJECT GRANT (B),Trustees of Tufts College,Termination for convenience agreement - 23-pimove23-0018  environmental justice & public health: climate  land  & (HEALTH) outcome of dengue fever (CLOUD)
80NSSC25K7030,2025-04-09,0.00,PROJECT GRANT (B),University of Texas Health Science Center at Houston,Stop work notice issued with notification of intent to terminate for convenience - Earth action: community action for equity and environmental justice - smd
80NSSC25K7030,2025-05-14,0.00,PROJECT GRANT (B),University of Texas Health Science Center at Houston,Termination for convenience agreement - cielo: chicago'S initiative for environmental justice and light pollution outreach - support for smd directorate
80NSSC24K0913,2025-05-14,0.00,PROJECT GRANT (B),University of Texas Health Science Center at Houston,Termination for convenience - using NASA Earth observations to support environmental justice communities in atlanta  georgia  - support for smd directorate
80NSSC24K0913,2025-04-09,0.00,PROJECT GRANT (B),University of Texas Health Science Center at Houston,Stop work notice issued with notification of intent to terminate for convenience - Earth science applications: equity and environmental justice -smd
80GSFC23CA001,2025-05-01,0.00,DEFINITIVE CONTRACT,The Trustees of Columbia University in the City of New York,Terminate for convenience notice issued under the the socioeconomic data and applications distributed active archive center (SDAAC)for smd directorate.
80GSFC23CA001,2025-03-18,0.00,DEFINITIVE CONTRACT,The Trustees of Columbia University in the City of New York,Stop work notice issued - sedac facilitates the analysis and portrayal of the human dimensions of global change needed for Earth science research.
80NSSC25K7031,2025-04-09,0.00,PROJECT GRANT (B),Trustees of Tufts College,Stop work notice issued with notification of intent to terminate for convenience  Earth action: community action for equity and environmental justice - smd
80NSSC25K7031,2025-06-06,0.00,PROJECT GRANT (B),Trustees of Tufts College,Terminate for convenience - 23-eej23-0029  integrating Earth observations toward advancing equitable resilience to geohazards in a changing climate
80GSFC21C0057,2025-08-18,20402.80,DEFINITIVE CONTRACT,Schlumberger Technology Corporation,"Termination for convenience agreement - pulsed neutron generators for the NASA Dragonfly and Dragonfly Titan lander and the Development and Advancement of Lunar Instrumentation (DALI), Bulk Elemental Composition Analyzer (BECA) instrument."
80GSFC23CA005,2025-09-11,40788.00,DEFINITIVE CONTRACT,Southwest Research Institute,Complete termination for convenience of NASA Geospace Dynamics Constellation (GDC) Comprehensive Auroral Precipitation Experiment (CAPE)
80GSFC23CA030,2025-09-29,343290.45,DEFINITIVE CONTRACT,Honeybee Robotics LLC,"Terminate for convenience agreement - Mars Sample Return (MSR) Capture, Containment and Return Systems (CCRS) Earth Entry System (EES) Spin Eject Mechanism (SEM) for smd directorate."
